qShort qLong baseline 
49167 84613 489 
91852 107571 437 
66127 118122 485 
104238 167980 362 
57004 98908 442 
52051 93824 462 
54894 97204 474 
59508 115684 395 
55698 102891 428 
51608 95462 473 
54122 101648 470 
55496 94231 448 
53692 90748 477 
55432 96032 471 
53146 95217 443 
54490 95825 428 
46577 83768 484 
56302 98278 486 
55907 95312 453 
48091 81267 473 
51165 89096 489 
56946 108420 434 
51543 91508 431 
49731 91076 463 
53112 81437 499 
52207 88012 463 
46369 69115 524 
45194 75592 471 
55975 85634 504 
48644 82117 469 
56392 110631 464 
58116 106205 480 
36990 39484 532 
54576 93429 476 
52417 98364 476 
52711 92565 440 
52973 96795 433 
54169 99697 454 
53208 91821 460 
55143 102362 429 
69128 124093 375 
51096 102191 446 
115185 168817 398 
45868 53906 520 
60922 115485 482 
49892 87181 478 
52257 91205 455 
57163 103206 472 
55330 109981 453 
54968 91140 453 
52430 92646 449 
54879 96394 475 
14412 77583 347 
52367 96094 461 
53270 91110 457 
51200 83628 482 
52553 91948 494 
53519 90399 464 
52778 92243 451 
54572 93946 479 
51308 98174 455 
51460 88809 459 
51871 100566 465 
43108 49774 547 
49976 100544 422 
70417 125807 374 
55395 96572 498 
51757 90721 450 
68201 120491 369 
53513 90270 487 
56084 97905 543 
50712 79651 464 
48085 78962 454 
52434 85207 521 
53135 90037 456 
52301 92911 454 
53096 94665 454 
50700 89184 507 
52313 86274 467 
51912 81766 464 
51523 92055 489 
43098 55217 502 
37638 34184 517 
72083 137757 396 
59689 104082 471 
63467 126590 456 
54513 93787 461 
51837 90497 486 
52216 90206 454 
54162 92614 455 
53447 99893 466 
49440 89163 483 
57854 100531 448 
55267 91597 493 
54768 95171 481 
8416 70452 405 
54300 93053 441 
52424 92811 440 
52770 91424 475 
51050 92484 478 
58557 106321 433 
52462 95520 448 
54031 99867 462 
52883 89773 453 
15633 83266 271 
50918 84138 434 
53145 83922 514 
55782 82125 504 
46136 67371 452 
57799 105198 493 
