qShort qLong cfd_y1 cfd_y2 baseline height eventCounter eventCounterPSD psdValue 
82359 60129 32 -41 499 2421 786 0 -12114 
119049 117929 41 -3 428 2416 787 0 -311 
95393 90111 7 -42 463 2407 788 0 -1920 
99229 93248 21 -32 454 2408 789 0 -2101 
117231 112634 33 -29 421 2443 790 0 -1337 
78877 67508 19 -45 447 2349 791 0 -5518 
101809 108630 23 -12 412 2353 792 0 2057 
53215 19836 66 -11 561 2400 793 0 10398 
114837 97319 2 -9 391 2396 794 0 -5898 
104157 154593 16 -74 216 668 795 0 10690 
65842 16229 22 -41 526 2512 796 0 30902 
100210 85261 6 -38 463 2456 797 0 -5745 
109969 111683 29 -17 421 2403 798 0 502 
99755 89366 40 -18 426 2376 799 0 -3809 
93035 87379 20 -42 471 2406 800 0 -2120 
58784 119848 20 -63 307 721 801 0 16695 
85728 75365 16 -47 488 2414 802 0 -4505 
92522 78942 47 -21 456 2391 803 0 -5636 
94718 85656 41 -20 480 2426 804 0 -3466 
95285 87317 51 -19 471 2413 805 0 -2990 
105089 95043 0 -38 448 2422 806 0 -3463 
94355 87024 68 -3 431 2373 807 0 -2760 
99693 92029 6 -40 464 2427 808 0 -2728 
103348 96037 17 -30 464 2430 809 0 -2494 
92317 81016 17 -35 450 2389 810 0 -4570 
93075 81625 23 -36 484 2426 811 0 -4596 
96237 90925 36 -29 474 2421 812 0 -1914 
101162 91724 54 -15 453 2419 813 0 -3371 
36087 -8552 122 -39 439 827 814 0 -25574 
83236 70529 51 -31 456 2370 815 0 -5903 
76862 60246 24 -44 505 2405 816 0 -9037 
63314 108665 40 -44 340 784 817 0 13675 
116648 122393 33 -10 416 2426 818 0 1538 
109722 52605 59 -6 492 2609 819 0 29959 
100481 94800 29 -23 465 2434 820 0 -1963 
59656 17474 4 -37 576 2443 821 0 -13563 
130103 163784 6 -5 327 2335 822 0 6738 
120496 123478 8 -20 416 2419 823 0 791 
93490 83087 52 -21 479 2421 824 0 -4102 
45553 49791 12 -4 512 2331 825 0 2788 
93318 78215 10 -35 450 2390 826 0 -6327 
96192 91059 5 -42 471 2418 827 0 -1847 
84677 33526 33 -15 560 2517 828 0 15544 
85215 62121 5 -50 485 2406 829 0 -12181 
111048 102570 5 -26 429 2402 830 0 -2708 
90320 79152 43 -32 480 2419 831 0 -4623 
51701 -4350 4 -16 572 2444 832 0 28996 
96092 93660 67 -3 437 2387 833 0 -850 
94523 82327 53 -22 487 2434 834 0 -4854 
70681 42324 8 -63 554 2455 835 0 -21953 
127342 152377 12 -6 368 2388 836 0 5383 
92543 52740 38 -24 545 2532 837 0 -24729 
86180 97777 33 -22 452 2293 838 0 3886 
80805 61883 28 -37 473 2373 839 0 -10019 
103735 101044 57 -5 434 2418 840 0 -872 
124777 129074 21 -14 420 2467 841 0 1090 
94449 87569 36 -34 497 2429 842 0 -2574 
95008 83352 65 -9 450 2406 843 0 -4582 
93492 82842 58 -16 457 2402 844 0 -4212 
94454 86067 56 -26 479 2421 845 0 -3193 
96340 79079 62 -6 462 2423 846 0 -7152 
96584 86007 66 -1 445 2395 847 0 -4029 
100555 95369 20 -23 452 2412 848 0 -1781 
92267 83185 0 -43 490 2429 849 0 -3577 
92703 81585 15 -37 457 2399 850 0 -4465 
95242 85622 27 -34 458 2404 851 0 -3681 
94749 86136 26 -33 482 2428 852 0 -3276 
88935 78083 29 -35 449 2377 853 0 -4553 
68109 52814 38 -22 486 2500 854 0 -9489 
95635 89268 51 -18 465 2408 855 0 -2337 
99241 85927 46 -23 490 2455 856 0 -5077 
100188 91947 3 -30 442 2396 857 0 -2936 
97317 83443 64 -12 475 2425 858 0 -5448 
90271 108631 0 -42 463 2386 859 0 5538 
29418 4331 24 -1 575 2320 860 0 6808 
87004 36909 19 -39 499 2480 861 0 21063 
98593 90727 54 -10 445 2421 862 0 -2840 
86503 67330 31 -41 492 2438 863 0 -9330 
61817 30188 20 -4 511 2381 864 0 31205 
93566 76563 57 -8 467 2391 865 0 -7276 
97498 94745 0 -39 464 2415 866 0 -952 
71936 50123 48 -5 486 2366 867 0 -14259 
105093 103616 47 -7 410 2374 868 0 -467 
82812 60854 3 -58 496 2425 869 0 -11823 
96816 87737 41 -27 466 2426 870 0 -3390 
87940 67042 34 -29 477 2416 871 0 -10213 
86319 69557 32 -40 490 2423 872 0 -7896 
98826 84703 62 -13 474 2419 873 0 -5463 
67666 49613 36 -40 476 2320 874 0 -11923 
96955 91417 20 -26 420 2356 875 0 -1985 
104331 124134 22 -32 440 2410 876 0 5227 
98761 116816 53 -4 404 2329 877 0 5064 
56592 55625 21 -39 451 2281 878 0 -569 
48272 38444 2 -13 538 2356 879 0 -8376 
85756 79891 91 -5 481 2569 880 0 -2405 
86039 74438 46 -33 466 2406 881 0 -5106 
95211 88828 6 -31 428 2362 882 0 -2354 
95015 86735 4 -38 472 2397 883 0 -3128 
94761 86488 21 -40 466 2413 884 0 -3134 
94122 81494 36 -27 449 2402 885 0 -5077 
99228 85932 46 -25 474 2436 886 0 -5069 
96327 90049 52 -18 465 2411 887 0 -2284 
79218 119106 52 -138 299 717 888 0 10973 
101321 93116 2 -31 446 2407 889 0 -2887 
94637 79622 1 -38 438 2394 890 0 -6179 
96313 87327 8 -41 474 2426 891 0 -3371 
95074 91457 21 -39 464 2416 892 0 -1295 
91358 79765 38 -31 452 2391 893 0 -4762 
91503 76338 25 -42 517 2480 894 0 -6509 
96702 88750 50 -16 478 2429 895 0 -2935 
92646 89330 66 -5 440 2374 896 0 -1216 
89130 78134 2 -44 463 2385 897 0 -4611 
89164 84398 60 -2 474 2402 898 0 -1850 
115430 124646 53 -6 429 2412 899 0 2422 
90158 80827 20 -34 466 2394 900 0 -3782 
69504 55325 21 -15 504 2445 901 0 -8397 
81950 69095 41 -28 471 2390 902 0 -6096 
91635 90939 61 -15 449 2379 903 0 -250 
90910 75644 61 -15 459 2404 904 0 -6612 
94164 85783 61 -5 477 2422 905 0 -3201 
95837 82774 11 -32 474 2426 906 0 -5171 
92668 86154 21 -29 442 2382 907 0 -2477 
85910 118922 26 -85 258 665 908 0 9095 
96321 85804 12 -42 485 2437 909 0 -4016 
94358 96454 21 -44 480 2429 910 0 712 
100329 100750 58 -1 417 2369 911 0 136 
91630 77093 33 -33 461 2405 912 0 -6178 
88833 74085 38 -35 488 2423 913 0 -6522 
52601 41207 16 -7 497 2300 914 0 -9060 
94411 86786 58 -10 469 2429 915 0 -2878 
84014 86789 54 -12 459 2342 916 0 1047 
93367 92826 56 -12 504 2435 917 0 -190 
81184 51029 10 -38 476 2405 918 0 -19363 
50636 6847 14 -35 538 2433 919 0 -12948 
53207 35413 6 -38 555 2367 920 0 -16464 
93003 117382 38 -31 447 2374 921 0 6805 
92788 81072 44 -21 461 2399 922 0 -4735 
89426 117331 143 -51 234 760 923 0 7793 
90624 80922 42 -29 475 2412 924 0 -3928 
102196 93951 64 -13 491 2482 925 0 -2875 
94857 86224 67 -8 445 2390 926 0 -3280 
